0,Po Lam B/T,PO01T12000
1,Yan King Rd.,YA03E10500
2,King Lam Est.,PO05E12500
3,Hau Tak Est.,PO06E10000
4,Hau Tak Shopping Ctr.,CH24E09500
5,Pui Shing Rd.,PU02W12000
6,Fu Ning Garden,PO06E10600
7,Tseung Kwan O Hospital,HA02N10000
8,St. Vincent's Catholic Church,HA02N10500
9,Shui Bin Tsuen,HA02N11000
10,Ying Yip Rd.,CL01W15000
11,Ngan Ying Rd.,CL01W15500
12,HKUST South,HK02T10000
13,Tai Po Tsai,CL01W16000
14,Tai Po Tsai Kau,CL01W16500
15,Ta Kwu Ling San Tsuen,CL01W17000
16,Pik Uk,CL01W17500
17,Pak Shek Wo,CL01W18000
18,Tseng Lan Shue,CL01W18500
19,Lung Wo Village,CL01W19000
20,Anderson Rd.,CL01W19500
21,Good Hope School,CL01W20000
22,Choi Wan Est.,CL01W20500
23,Choi Hung Sta.,PI01T11000
24,Hung Ngok Hse.,LU05W11750
25,Kam Wan Hse.,HA01S11000
26,Tai Yau St.,CH16W16500
27,Fung Tak Shopping Ctr.,FU07E11500
28,Diamond Hill Sta. B/T,DI01T13500
