0,Po Lam B/T,PO01T12000,0,0
1,Yan King Rd.,YA03E10500,60,13
2,King Lam Est.,PO05E12500,95,32
3,Hau Tak Est.,PO06E10000,70,65
4,Hau Tak Shopping Ctr.,CH24E09500,70,97
5,Pui Shing Rd.,PU02W12000,85,123
6,Fu Ning Garden,PO06E10600,145,175
7,Tseung Kwan O Hospital,HA02N10000,55,208
8,St. Vincent's Catholic Church,HA02N10500,35,221
9,Shui Bin Tsuen,HA02N11000,55,234
10,Ying Yip Rd.,CL01W15000,60,260
11,Ngan Ying Rd.,CL01W15500,140,318
12,HKUST South,HK02T10000,85,351
13,Tai Po Tsai,CL01W16000,175,422
14,Tai Po Tsai Kau,CL01W16500,70,448
15,Ta Kwu Ling San Tsuen,CL01W17000,110,500
16,Pik Uk,CL01W17500,100,558
17,Pak Shek Wo,CL01W18000,65,597
18,Tseng Lan Shue,CL01W18500,55,636
19,Lung Wo Village,CL01W19000,45,649
20,Anderson Rd.,CL01W19500,40,688
21,Good Hope School,CL01W20000,110,747
22,Choi Wan Est.,CL01W20500,105,792
23,Choi Hung Sta.,PI01T11000,100,831
24,Hung Ngok Hse.,LU05W11750,190,864
25,Kam Wan Hse.,HA01S11000,25,877
26,Tai Yau St.,CH16W16500,120,916
27,Fung Tak Shopping Ctr.,FU07E11500,240,968
